roessler,nominal,zentral,NN 0.1,NN 0.01,NN 0.001
PySINDy abs. Fehler,0.0,0.00059,7.08376,0.35829,0.37128
PySINDy rel. Fehler,0.0,0.00082*,34.4256*,3.79045*,3.71507*
