x1,x2
0.44249296,4.6280594
0.44238117,4.6273804
0.44226938,4.6267014
0.44215766,4.6260223
0.44204596,4.6253433
0.4419343,4.624665
0.44182268,4.623986
0.44171107,4.623307
0.44159952,4.6226287
0.441488,4.62195
0.44137648,4.6212716
0.44126502,4.6205935
0.44115362,4.619915
0.4410422,4.619237
0.44093084,4.618559
0.44081953,4.617881
0.44070825,4.6172028
0.440597,4.6165247
0.44048578,4.6158466
0.44037458,4.615169
0.44026342,4.6144915
0.44015232,4.613814
0.4400412,4.6131363
0.43993017,4.6124587
0.43981916,4.611781
0.43970817,4.6111035
0.43959722,4.6104264
0.4394863,4.6097493
0.43937543,4.609072
0.43926457,4.608395
0.43915376,4.607718
0.439043,4.607041
0.43893224,4.6063643
0.43882152,4.605687
0.43871084,4.6050105
0.4386002,4.604334
0.4384896,4.6036572
0.43837902,4.6029806
0.43826848,4.6023045
0.43815798,4.601628
0.4380475,4.6009517
0.43793705,4.6002755
0.43782666,4.5995994
0.43771628,4.598923
0.43760595,4.598247
0.43749565,4.5975714
0.43738538,4.596895
0.43727514,4.5962195
0.43716493,4.595544
0.43705478,4.594868
0.43694463,4.5941925
0.43683454,4.593517
0.43672448,4.5928416
0.43661442,4.5921664
0.43650445,4.5914907
0.43639448,4.5908155
0.43628454,4.5901403
0.43617466,4.5894656
0.43606478,4.5887904
0.43595496,4.588115
0.43584517,4.5874405
0.4357354,4.586766
0.43562567,4.586091
0.43551597,4.5854163
0.43540633,4.5847416
0.43529668,4.5840673
0.4351871,4.5833926
0.43507755,4.5827184
0.43496802,4.582044
0.43485853,4.58137
0.43474907,4.5806956
0.43463966,4.5800214
0.43453026,4.5793476
0.4344209,4.5786734
0.4343116,4.5779996
0.4342023,4.577326
0.43409306,4.576652
0.43398383,4.5759783
0.43387464,4.575305
0.4337655,4.574631
0.4336564,4.573958
0.4335473,4.5732846
0.43343824,4.5726113
0.43332922,4.571938
0.43322027,4.5712647
0.4331113,4.5705914
0.43300238,4.5699186
0.4328935,4.569246
0.43278468,4.568573
0.43267584,4.5679
0.43256706,4.5672274
0.4324583,4.5665545
0.43234962,4.5658817
0.43224093,4.5652094
0.4321323,4.564537
0.43202367,4.5638647
0.4319151,4.5631924
0.43180656,4.56252
0.43169805,4.5618477
0.43158957,4.561176
0.43148112,4.5605035
0.43137273,4.5598316
0.43126437,4.5591598
