x1,x2
0.44249296,4.6280594
0.43081346,4.5609794
0.4195378,4.4945354
0.40866256,4.4287357
0.39818388,4.3635902
0.38809627,4.299102
0.3783932,4.235272
0.3690723,4.1721263
0.360123,4.1096525
0.35153902,4.047861
0.34331217,3.986755
0.33543497,3.9263456
0.32789722,3.866627
0.32068998,3.8076062
0.31380346,3.7492855
0.30722764,3.6916664
0.30095223,3.6347513
0.29496697,3.578544
0.28925985,3.523032
0.2838239,3.4682498
0.27864245,3.4141378
0.27370936,3.3607452
0.26901263,3.3080547
0.26454175,3.2560647
0.26028648,3.2047746
0.2562364,3.1541772
0.2523822,3.1042767
0.24871425,3.0550673
0.24522287,3.0065424
0.24189936,2.9587002
0.23873523,2.9115365
0.23572236,2.8650467
0.2328529,2.8192255
0.2301195,2.7740674
0.22751512,2.7295668
0.22503468,2.685741
0.22266908,2.6425369
0.22041461,2.5999792
0.21826547,2.5580611
0.21621658,2.5167727
0.21426323,2.4761078
0.21240105,2.436059
0.21062602,2.39662
0.20893437,2.357783
0.20732306,2.3195515
0.20578872,2.2819133
0.20432758,2.2448413
0.2029382,2.2083526
0.20161739,2.1724336
0.20036303,2.1370766
0.199173,2.1022747
0.19804537,2.0680206
0.19697836,2.0343077
0.19597024,2.0011265
0.19501954,1.9684718
0.1941249,1.9363385
0.19328494,1.9047177
0.19249864,1.8736087
0.19176444,1.8429868
0.19108157,1.8128608
0.19044894,1.783219
0.18986563,1.7540549
0.18933079,1.7253612
0.18884353,1.6971322
0.1884031,1.6693597
0.18800867,1.6420352
0.1876597,1.6151617
0.18735538,1.5887231
0.18709515,1.5627239
0.18687817,1.5371243
0.18670407,1.5119568
0.18657218,1.4872009
0.18648198,1.4628501
0.18643293,1.4388987
0.18642452,1.4153407
0.18645626,1.3921689
0.18652768,1.3693775
0.1866383,1.3469635
0.18678774,1.324912
0.18697543,1.3032403
0.18720113,1.2819222
0.1874647,1.2609415
0.18776524,1.2403166
0.18810262,1.2200329
0.18847649,1.2000852
0.18888652,1.1804678
0.18933241,1.1611758
0.18981385,1.142204
0.19033058,1.1235466
0.19088228,1.105199
0.19146872,1.0871572
0.19208957,1.0694166
0.19274478,1.0519714
0.19343358,1.0348222
0.19415627,1.0179658
0.19491388,1.0013572
0.19570412,0.9850452
0.19652767,0.96900517
0.19738442,0.95323294
0.1982742,0.9377241
0.19919689,0.92247427
0.2001524,0.90747935
0.20114064,0.8927349
0.20216142,0.87823814
0.20321476,0.86398333
0.20430072,0.8499663
0.20541929,0.8361819
0.20657012,0.82262915
0.20775367,0.8093009
0.20896755,0.7962203
0.21021694,0.7833271
0.21149737,0.7706619
0.21281023,0.758209
0.21415558,0.74596506
0.21553345,0.73392653
0.21694389,0.72209
0.21838698,0.7104522
0.21986277,0.6990101
0.22137147,0.6877592
0.22291306,0.67669797
0.22448772,0.66582185
0.22609551,0.6551291
0.22773635,0.64461666
0.22941028,0.63428324
0.23111811,0.62412196
0.23286076,0.6141273
0.23463647,0.60430384
0.23644626,0.5946457
0.23829034,0.58515
0.24016891,0.5758141
0.24208218,0.5666354
0.24403036,0.55761117
0.24601372,0.5487387
0.2480324,0.54001576
0.25008672,0.5314398
0.2521767,0.52300906
0.25430328,0.51471823
0.25646615,0.506568
0.25866565,0.4985548
0.26090163,0.4906783
0.26317373,0.48294047
0.26548514,0.47532472
0.26783574,0.46783626
0.2702231,0.46047702
0.2726491,0.45324185
0.27511394,0.44612885
0.27761805,0.43913585
0.2801618,0.43226087
0.28274548,0.42550197
0.28536955,0.41885713
0.28803438,0.4123245
0.29074025,0.4059023
0.29348773,0.39958838
0.29627728,0.39338094
0.29910895,0.3872788
0.30198327,0.38128018
0.30490065,0.37538323
0.3078621,0.36958525
0.31086877,0.36388212
0.31391886,0.3582793
0.31701192,0.35277444
0.3201548,0.34735695
0.32334167,0.3420331
0.32657507,0.33679932
0.32985553,0.3316542
0.3331836,0.32659617
0.33655968,0.32162383
0.33998445,0.3167357
0.3434584,0.3119304
0.34698212,0.30720645
0.35055608,0.30256268
0.3541808,0.29799777
0.35785726,0.29351
0.36158565,0.28909835
0.36536676,0.28476152
0.36920094,0.2804986
0.37309024,0.27630642
0.37703148,0.2721886
0.3810289,0.26813933
0.385081,0.26416007
0.38918972,0.26024798
0.39335656,0.25640172
0.3975813,0.25262016
0.40186808,0.24890259
0.40621078,0.24524924
0.41061345,0.24165812
0.41507676,0.23812816
0.41960153,0.23465835
0.4241884,0.2312477
0.42883822,0.22789517
0.43355173,0.22459988
0.43832964,0.22136082
0.44317293,0.21817699
0.44808227,0.2150476
0.4530584,0.21197172
0.45810223,0.20894837
0.46321508,0.20597653
0.46839696,0.2030558
0.4736499,0.20018458
0.47897187,0.1973637
0.48436648,0.1945907
0.48983565,0.19186477
0.49537712,0.18918604
0.50099534,0.18655232
0.50668675,0.18396512
0.5124617,0.18141907
0.51830554,0.17892152
0.52422917,0.1764658
0.530231,0.17405267
0.53631294,0.17168242
0.5424899,0.1693477
0.54874045,0.16705625
0.55507475,0.16480437
0.5614941,0.16259134
0.56799924,0.16041662
0.5745914,0.15827954
0.5812717,0.15617946
0.58804125,0.15411581
0.5949013,0.15208791
0.6018529,0.15009525
0.60889715,0.14813721
0.6160348,0.14621337
0.6232687,0.14432274
0.6305983,0.14246522
0.6380253,0.14064015
0.64555156,0.13884683
0.6531745,0.13708572
0.6609045,0.13535407
0.6687358,0.13365315
0.6766669,0.1319828
0.68470204,0.13034248
0.692854,0.12872818
0.7011008,0.1271449
0.7094759,0.12558642
0.71794546,0.12405973
0.72653174,0.12255809
0.7352317,0.121083066
0.7440466,0.11963423
0.7529784,0.118211135
0.76202786,0.11681343
0.77119684,0.115440674
0.7804868,0.11409246
0.78989947,0.11276841
0.7994359,0.11146816
0.8090985,0.11019126
0.8188881,0.108937405
0.8288063,0.10770625
0.8388549,0.10649742
0.8490364,0.105310455
0.85935056,0.10414525
0.86979973,0.103001356
0.88038564,0.10187849
0.89111257,0.10077596
0.90198076,0.09969367
0.9129834,0.09863219
0.92413425,0.097590156
0.935434,0.096567124
0.9468769,0.09556364
0.95848405,0.09457756
0.97022164,0.09361206
0.98211426,0.092664644
0.9941762,0.09173469
1.0063865,0.090822645
1.0187556,0.089928135
1.0312847,0.089050956
1.0439761,0.08819085
1.0568317,0.08734758
1.0698534,0.08652094
1.0830432,0.08571069
1.0964031,0.08491664
1.1099349,0.08413856
1.1236409,0.083376266
1.1375221,0.0826296
1.1515813,0.08189834
1.1658217,0.08118226
1.1802425,0.08048129
1.1948483,0.079795204
1.2096386,0.07912387
1.22462,0.07846702
1.2397867,0.07782477
1.2551517,0.07719659
1.2707012,0.076582976
1.2864635,0.07598274
1.3024096,0.075397015
1.3185642,0.07482479
1.334901,0.074267045
1.3514683,0.073721774
1.3682361,0.07319055
1.3851912,0.07267313
1.4023625,0.07216917
1.4197867,0.07167692
1.4374027,0.07119861
1.4552234,0.0707352
1.47327,0.07028375
1.4915375,0.06984543
1.5100275,0.069420226
1.5287435,0.06900809
1.5476856,0.068609044
1.5668552,0.06822312
1.5862608,0.06785018
1.6058923,0.06749051
