x1,x2,x3,x4
0.49980482,0.5013148,-23.1308,-1.0525236
0.47683716,0.49877167,-23.118391,-1.0529459
0.45394897,0.497818,-23.106485,-1.0533631
0.43058395,0.49686432,-23.095175,-1.0537505
0.40769577,0.49591064,-23.08461,-1.054138
0.3848076,0.49495697,-23.073599,-1.0544509
0.36144257,0.49352646,-23.06597,-1.0548532
0.33807755,0.49257278,-23.055628,-1.0551065
0.31518936,0.4916191,-23.044825,-1.0552853
0.29230118,0.49066544,-23.038982,-1.0556281
0.269413,0.48923492,-23.031816,-1.0558814
0.24652481,0.48828125,-23.025833,-1.0561347
0.22315979,0.48732758,-23.01897,-1.0562837
0.19979477,0.4863739,-23.012743,-1.0564476
0.17690659,0.48542023,-23.00842,-1.0566413
0.15449524,0.48398972,-23.004494,-1.0567755
0.13113022,0.48303604,-23.000862,-1.0568947
0.108242035,0.48208237,-22.997211,-1.0569841
0.08535385,0.4811287,-22.994595,-1.0570586
0.062465668,0.48065186,-22.993177,-1.057148
0.039577484,0.47922134,-22.992105,-1.0572076
0.0166893,0.477314,-22.990982,-1.0572076
-0.006198883,0.47636032,-22.990845,-1.0571927
-0.029563904,0.47540665,-22.9914,-1.0571778
-0.052452087,0.47445297,-22.992435,-1.0571629
-0.07534027,0.47254562,-22.994047,-1.0571331
-0.098228455,0.4711151,-22.996265,-1.0570139
-0.12111664,0.47159195,-22.999146,-1.0569245
-0.14257431,0.4711151,-23.002512,-1.0568202
-0.16641617,0.46873093,-23.006409,-1.0566711
-0.19073486,0.46730042,-23.01114,-1.056537
-0.21362305,0.46634674,-23.016602,-1.0563433
-0.23555756,0.46491623,-23.022383,-1.0561794
-0.2579689,0.46491623,-23.028702,-1.0559857
-0.2822876,0.4644394,-23.035631,-1.0557026
-0.30517578,0.4620552,-23.043215,-1.0554343
-0.3299713,0.4620552,-23.0515,-1.0551959
-0.35429,0.46157837,-23.060307,-1.0548979
-0.37622452,0.45919418,-23.0698,-1.0545701
-0.3976822,0.45919418,-23.079754,-1.0542572
-0.42152405,0.45728683,-23.090258,-1.0539144
-0.44488907,0.45585632,-23.10151,-1.0535121
-0.46634674,0.45585632,-23.113161,-1.0530949
-0.4901886,0.4544258,-23.12541,-1.0526925
-0.51259995,0.45347214,-23.138329,-1.0522306
