x1,x2,x3,x4
0.5,0.5,-23.130817,-1.0525123
-1.8808222,0.39505193,-24.78225,-0.9661346
-4.633394,0.33369017,-30.002398,0.040319666
-7.8537946,0.47997335,-36.52407,3.3754082
-11.9696045,1.0254173,-38.39253,5.981416
-11.617071,0.9723816,41.30002,-6.369691
-7.494281,0.4484416,35.61371,-2.9207232
-4.288437,0.33792412,29.381142,0.17662589
-1.6658324,0.4034947,24.422888,0.9899362
0.674606,0.50785613,23.246534,1.0485026
3.159099,0.60118616,27.17745,0.6895999
6.225091,0.58308744,32.858948,-1.4305538
9.929976,0.22997609,42.377647,-5.849122
12.95498,-0.22832882,-5.789032,0.9159627
9.402982,0.3014621,-41.02881,5.3038855
5.8667254,0.5991289,-32.16382,1.0601646
2.88487,0.5930123,-26.651068,-0.77191275
0.4611174,0.4982587,-23.114626,-1.0533394
-1.8993677,0.39423257,-24.812733,-0.9638213
-4.628392,0.33461544,-29.967562,0.03481471
-7.9111414,0.48560864,-36.681313,3.449496
-12.025021,1.0345573,-37.7851,5.894894
-11.560668,0.9628879,41.619488,-6.406511
-7.458214,0.44644332,35.52059,-2.8747158
-4.2804155,0.33651355,29.366514,0.18131584
-1.6082628,0.4060055,24.34986,0.9957141
0.7048824,0.5092705,23.27077,1.0476809
3.2305584,0.60256493,27.32815,0.6654181
6.248527,0.5840606,32.887634,-1.4530703
9.960738,0.22542563,42.446774,-5.877466
12.955471,-0.22776805,-7.1584215,1.1330581
9.379211,0.30397478,-40.960247,5.277018
5.756359,0.6007256,-31.980211,0.9554882
2.8596041,0.592724,-26.608383,-0.77871335
0.42927238,0.49677712,-23.097263,-1.0538461
-1.920776,0.39342967,-24.840822,-0.9610417
-4.7213926,0.33458188,-30.158459,0.10046003
-8.007598,0.49585956,-36.950245,3.5744255
-12.042924,1.0374384,-37.688503,5.8844204
-11.529842,0.95840126,41.79862,-6.427688
-7.4218655,0.44238985,35.425705,-2.82818
-4.195396,0.3422806,29.200415,0.23071232
-1.5777746,0.40718612,24.305471,0.9985636
0.7471658,0.51116127,23.305962,1.0464514
3.2448053,0.6030937,27.347944,0.6607243
6.256873,0.5829157,32.901527,-1.4616618
10.000707,0.22348692,42.530964,-5.9143944
12.92886,-0.22516564,-9.09808,1.4389684
9.367432,0.3065096,-40.92145,5.263222
5.7248387,0.60339916,-31.931822,0.9265869
2.855999,0.592935,-26.581354,-0.7799512
1.3547344,1.1467152,-32.21042,1.0911357
-1.899399,1.251179,-31.93812,1.1986464
-4.8931937,1.4111243,-26.105843,1.9110901
-6.4056664,1.538494,0.49704596,-0.046950657
-4.8466277,1.4100642,26.27322,-1.9068345
-1.8679094,1.2500482,31.94501,-1.1921659
1.3625329,1.1463294,32.18781,-1.0935509
4.44631,0.9979207,27.917778,-1.8661968
6.354367,0.84467596,6.5616426,-0.6151634
5.310786,0.93340105,-23.59903,1.8696761
2.4171453,1.1064701,-31.544622,1.3268435
-0.7951077,1.2137393,-32.350327,1.017382
-3.9115236,1.346906,-29.442505,1.7500358
-6.1851625,1.5175625,-12.038082,1.1017914
-5.6953955,1.4754056,20.19565,-1.7107149
-3.0264134,1.2991748,30.939928,-1.4976747
0.21517338,1.1826607,32.434277,-0.97955334
3.3417292,1.0632793,30.526304,-1.5902133
5.923542,0.88525194,17.046553,-1.4993632
6.0255084,0.87430197,-15.652111,1.3978875
3.529164,1.0527254,-30.1495,1.6443102
0.4268274,1.176286,-32.434772,0.98703694
-2.829205,1.2903402,-31.15723,1.4407114
-5.596953,1.4643962,-20.915894,1.7447169
-6.2775126,1.5265574,9.797558,-0.9084296
-4.0508366,1.3560525,29.05252,-1.7835696
-0.97230667,1.2190382,32.31797,-1.0365491
2.2906857,1.1110501,31.649965,-1.2937566
5.15798,0.94672227,24.5355,-1.8911425
6.382246,0.84188664,-4.3069677,0.40547162
4.6212764,0.9857655,-27.321716,1.8931115
1.5699569,1.1385914,-32.06209,1.1327307
-1.7104707,1.2445993,-32.02819,1.1587566
-4.7482677,1.4001243,-26.754707,1.9033443
-6.4005756,1.5379703,-2.281062,0.21530186
-5.028747,1.4230701,25.35822,-1.9065032
-2.1201909,1.2598643,31.781834,-1.2508898
1.1302797,1.1538155,32.272015,-1.0574249
