x1,x2,x3
-1.9988292124719043,1.201939327611625,-4.174000027029455
-1.9699708634439725,1.183413656971174,-4.024361883848034
-1.942369589786276,1.1653873575833626,-3.877907354282236
-1.9160102633350358,1.1478154212305087,-3.7347953669484295
-1.8908721507859743,1.1306540116618333,-3.5951567671618365
-1.866930026592598,1.1138612610049785,-3.459096204507416
-1.8441551335299398,1.0973978101785973,-3.3266940603358144
-1.822516005194269,1.0812271408054044,-3.1980083848540066
-1.8019791651196153,1.0653157421077248,-3.073076817575579
-1.7825097167410477,1.0496331509936363,-2.9519184688491737
-1.7640718375237538,1.0341518978378432,-2.8345357440119185
-1.7466291894638033,1.0188473848704898,-2.7209160953702645
-1.7301452570039952,1.0036977189324894,-2.6110336906215363
-1.714583622278695,0.98868351580233,-2.5048509894338067
-1.6999081865427703,0.973787689403223,-2.4023202226565448
-1.6860833456639814,0.958995235948813,-2.3033847710214523
-1.67307412666486,0.9442930204296097,-2.2079804422157587
-1.6608462914831517,0.9296695707102739,-2.116036646885174
-1.6493664133725545,0.9151148828242703,-2.0274774754811906
-1.6386019306816253,0.9006202397432364,-1.9422226789399832
-1.6285211821236785,0.8861780448964107,-1.8601885570027403
-1.6190934270813582,0.8717816709619833,-1.7812887585951602
-1.6102888539737257,0.8574253238971068,-1.705434999108014
-1.6020785792496592,0.84310392177513,-1.6325376996912158
-1.5944346391570876,0.8288129877231692,-1.5625065538156782
-1.587329976071296,0.8145485560728909,-1.4952510263939744
-1.5807384208447164,0.8003070907301123,-1.4306807907017727
-1.5746346723626454,0.786085414716773,-1.3687061082248997
-1.5689942752509436,0.7718806498279777,-1.3092381563864037
-1.5637935964797083,0.7576901653659911,-1.252189308897265
-1.5590098014375315,0.743511534953542,-1.1974733732344314
-1.5546208299106405,0.7293425004837186,-1.145005789489869
-1.5506053722865765,0.715180942327852,-1.0947037945628761
-1.5469428462094268,0.7010248549919316,-1.0464865553904823
-1.5436133738401216,0.6868723274832773,-1.0002752746342107
-1.5405977598177298,0.6727215277200891,-0.9559932719688295
-1.5378774699735398,0.658570690385256,-0.9135660438540485
-1.5354346108167005,0.64441810769174,-0.872921304416687
-1.5332519097859538,0.6302621225883506,-0.8339890098281714
-1.5313126962453012,0.6161011239923236,-0.7967013683354482
-1.5296008831900973,0.6019335436876355,-0.7609928378891084
