roessler,nominal,zentral,NN dt=0.1s,NN dt=0.01s,NN dt=0.001s
PySINDy abs. Fehler,1.1003373479553973e-15,0.0005947900751151757,7.083758370655762,0.35828915010355766,0.37127991685624245
PySINDy rel. Fehler,2.1361818474250543e-15,0.000821899999520712*,34.42560097862852*,3.790454083225123*,3.715067180336832*
