x1,x2
0.44249296,4.6280594
0.44130677,4.621323
0.4401246,4.614593
0.43894655,4.607869
0.4377725,4.6011515
0.43660253,4.5944405
0.43543664,4.5877357
0.43427476,4.581037
0.43311694,4.5743446
0.43196318,4.567659
0.43081346,4.5609794
0.42966777,4.554306
0.42852613,4.5476394
0.4273885,4.540979
0.4262549,4.534325
0.42512533,4.5276775
0.4239998,4.521036
0.4228783,4.5144014
0.4217608,4.507773
0.42064726,4.5011506
0.4195378,4.4945354
0.41843233,4.4879265
0.41733083,4.4813237
0.4162334,4.4747276
0.41513985,4.4681377
0.4140503,4.461554
0.41296485,4.454978
0.41188326,4.448407
0.41080567,4.441843
0.40973225,4.435287
0.40866256,4.4287357
0.4075967,4.42219
0.40653524,4.415654
0.40547734,4.409122
0.4044235,4.402597
0.40337366,4.396079
0.40232795,4.389569
0.40128553,4.3830614
0.40024766,4.376564
0.39921394,4.3700747
0.39818388,4.3635902
0.39715737,4.35711
0.3961343,4.3506336
0.3951161,4.34417
0.39410165,4.3377123
0.39309114,4.331261
0.39208457,4.324817
0.39108187,4.3183794
0.39008224,4.3119435
0.38908643,4.305514
0.38809627,4.299102
0.38710788,4.2926836
0.38612443,4.286279
0.3851447,4.279881
0.38417006,4.2734957
0.383198,4.267111
0.38222927,4.2607284
0.3812639,4.25435
0.3803035,4.2479863
0.37934935,4.2416434
0.3783932,4.235272
0.37744537,4.2289352
0.37650353,4.222619
0.37555668,4.2162547
0.37462264,4.2099533
0.37368628,4.203617
0.37275597,4.197305
0.37182942,4.1910005
0.37090665,4.1847024
0.3699876,4.178411
0.3690723,4.1721263
0.3681607,4.1658483
0.36725283,4.159577
0.36634868,4.1533127
0.36544824,4.147055
0.36455148,4.1408043
0.36365846,4.1345606
0.36276907,4.128323
0.36188337,4.1220927
0.36100137,4.115869
0.360123,4.1096525
0.3592483,4.1034427
0.35837725,4.0972395
0.35750982,4.0910435
0.35664603,4.084854
0.35578585,4.0786715
0.3549293,4.0724955
0.35407636,4.0663266
0.35322705,4.060165
0.3523812,4.0540094
0.35153902,4.047861
0.35070053,4.0417204
0.34986538,4.035585
0.34903404,4.0294585
0.34820592,4.0233364
0.34738177,4.0172243
0.34656075,4.011116
0.34574354,4.005017
0.34492967,3.998923
0.34411928,3.9928362
0.34331217,3.986755
0.3425087,3.9806814
0.34170955,3.9746208
0.340913,3.968561
0.34011984,3.9625075
0.3393307,3.956465
0.338545,3.9504294
0.33776116,3.9443896
0.33698222,3.938367
0.3362085,3.9323652
0.33543497,3.9263456
0.3346666,3.9203472
0.3339002,3.9143443
0.3331387,3.9083605
0.3323784,3.9023664
0.33162406,3.8963988
0.33087078,3.8904219
0.33012217,3.8844619
0.32938123,3.878541
0.3286344,3.8725579
0.32789722,3.866627
0.3271618,3.8606935
0.32642964,3.8547668
0.32570076,3.8488474
0.3249752,3.8429348
0.32425287,3.8370292
0.32353383,3.8311305
0.322818,3.825239
0.32210544,3.8193543
0.3213961,3.8134768
0.32068998,3.8076062
0.31998706,3.8017426
0.31928733,3.795886
0.3185908,3.7900364
0.31789744,3.7841938
0.31720725,3.7783582
0.3165202,3.7725296
0.31583634,3.7667081
0.3151556,3.7608936
0.31447798,3.755086
0.31380346,3.7492855
0.31313208,3.743492
0.31246376,3.7377055
0.31179854,3.731926
0.31113645,3.7261536
0.31047738,3.7203884
0.30982137,3.71463
0.30916837,3.7088783
0.30851847,3.703134
0.30787155,3.6973968
0.30722764,3.6916664
0.3065868,3.6859438
0.30594882,3.6802268
0.30531394,3.674518
0.30468202,3.6688159
