x1,x2
-1.2412273,-6.7247467
-0.81549716,-6.070547
-0.5131632,-5.3831234
-0.32642052,-4.691411
-0.20475179,-4.044161
-0.12094967,-3.4614758
-0.060074404,-2.9502678
-0.0127105415,-2.5066023
0.026701912,-2.1250212
0.061339736,-1.7985463
0.09366058,-1.5195143
0.12537241,-1.2835691
0.1578293,-1.0838509
0.19191094,-0.914225
0.22830889,-0.77133894
0.268102,-0.6502974
0.31186014,-0.5479194
0.36091357,-0.46191707
0.41548207,-0.38940734
0.47675565,-0.3281898
0.54653406,-0.27666086
0.62461805,-0.23273386
0.71273804,-0.19522749
0.81249684,-0.16387023
0.9250739,-0.13707705
1.0537106,-0.114098154
1.1988785,-0.094313286
1.3618066,-0.07694606
1.5475035,-0.06160546
1.7577362,-0.047835633
1.9880939,-0.035103112
