x1,x2,x3,x4
-10.0,10.0,0.5,0.5
-10.068988,10.045263,-1.8808222,0.39505193
-10.394499,10.081247,-4.633394,0.33369017
-10.998994,10.118336,-7.8537946,0.47997335
-11.997488,10.191829,-11.9696045,1.0254173
-13.242093,10.30258,-11.617071,0.9723816
-14.208555,10.37145,-7.494281,0.4484416
-14.78988,10.408054,-4.288437,0.33792412
-15.079594,10.443527,-1.6658324,0.4034947
-15.128232,10.489103,0.674606,0.50785613
-14.940401,10.544727,3.159099,0.60118616
-14.463001,10.607103,6.225091,0.58308744
-13.666821,10.651649,9.929976,0.22997609
-12.500809,10.646654,12.95498,-0.22832882
-11.3448925,10.647462,9.402982,0.3014621
-10.60107,10.694971,5.8667254,0.5991289
-10.162074,10.757182,2.88487,0.5930123
-9.999341,10.811227,0.4611174,0.4982587
-10.070372,10.856019,-1.8993677,0.39423257
-10.392264,10.891571,-4.628392,0.33461544
-11.011524,10.929533,-7.9111414,0.48560864
-12.014953,11.003732,-12.025021,1.0345573
-13.258165,11.114353,-11.560668,0.9628879
-14.216412,11.182299,-7.458214,0.44644332
-14.791045,11.2185545,-4.2804155,0.33651355
-15.082896,11.254927,-1.6082628,0.4060055
-15.127288,11.300211,0.7048824,0.5092705
-14.931578,11.356682,3.2305584,0.60256493
-14.459687,11.418051,6.248527,0.5840606
-13.65916,11.462221,9.960738,0.22542563
-12.48518,11.456851,12.955471,-0.22776805
-11.33923,11.458048,9.379211,0.30397478
-10.582145,11.507581,5.756359,0.6007256
-10.159627,11.568038,2.8596041,0.592724
-9.998676,11.622338,0.42927238,0.49677712
-10.071719,11.666751,-1.920776,0.39342967
-10.408125,11.703016,-4.7213926,0.33458188
-11.032754,11.74128,-8.007598,0.49585956
-12.018177,11.814399,-12.042924,1.0374384
-13.26753,11.9255705,-11.529842,0.95840126
-14.224446,11.993251,-7.4218655,0.44238985
-14.80385,12.030074,-4.195396,0.3422806
-15.084827,12.065851,-1.5777746,0.40718612
-15.125912,12.111576,0.7471658,0.51116127
-14.93025,12.16742,3.2448053,0.6030937
-14.458248,12.228643,6.256873,0.5829157
-13.650992,12.273033,10.000707,0.22348692
-12.462691,12.266808,12.92886,-0.22516564
-11.335765,12.2683115,9.367432,0.3065096
-10.577027,12.318564,5.7248387,0.60339916
-10.158416,12.37858,2.855999,0.592935
0.9598875,6.385708,1.3547344,1.1467152
0.9315968,6.50626,-1.899399,1.251179
0.5863489,6.639072,-4.8931937,1.4111243
-0.008838959,6.789494,-6.4056664,1.538494
-0.59319496,6.9392095,-4.8466277,1.4100642
-0.9327663,7.071034,-1.8679094,1.2500482
-0.9583123,7.190623,1.3625329,1.1463294
-0.66276836,7.2991343,4.44631,0.9979207
-0.11786285,7.3882885,6.354367,0.84467596
0.5002495,7.4764686,5.310786,0.93340105
0.89473987,7.5797386,2.4171453,1.1064701
0.9768194,7.6957283,-0.7951077,1.2137393
0.7416692,7.8220963,-3.9115236,1.346906
0.22225374,7.9651732,-6.1851625,1.5175625
-0.4041676,8.118897,-5.6953955,1.4754056
-0.84282136,8.255748,-3.0264134,1.2991748
-0.9862525,8.380875,0.21517338,1.1826607
-0.81124014,8.491803,3.3417292,1.0632793
-0.32847366,8.589975,5.923542,0.88525194
0.2971462,8.675599,6.0255084,0.87430197
0.7867704,8.772479,3.529164,1.0527254
0.9853825,8.88217,0.4268274,1.176286
0.8607368,9.006873,-2.829205,1.2903402
0.4237843,9.145625,-5.596953,1.4643962
-0.1783747,9.294155,-6.2775126,1.5265574
-0.7204666,9.441938,-4.0508366,1.3560525
-0.972641,9.568537,-0.97230667,1.2190382
-0.904376,9.686574,2.2906857,1.1110501
-0.5308971,9.78862,5.15798,0.94672227
0.076925024,9.876843,6.382246,0.84188664
0.6355567,9.965595,4.6212764,0.9857655
0.94648844,10.072819,1.5699569,1.1385914
0.9414364,10.193693,-1.7104707,1.2445993
0.6120968,10.3262415,-4.7482677,1.4001243
0.040608857,10.472536,-6.4005756,1.5379703
-0.5590013,10.624053,-5.028747,1.4230701
-0.91669714,10.7557745,-2.1201909,1.2598643
-0.96748066,10.877203,1.1302797,1.1538155
-0.6966653,10.986076,4.2312813,1.0120037
-0.15185517,11.078138,6.297489,0.850258
0.45811328,11.163771,5.495053,0.91929215
0.8765664,11.266593,2.6407392,1.0966768
0.9831834,11.380853,-0.54196024,1.205626
0.7673691,11.507451,-3.7005627,1.3351344
0.26639435,11.649096,-6.091299,1.5088642
-0.36421776,11.803213,-5.83039,1.4869645
-0.82367694,11.942676,-3.2066326,1.3083069
-0.98747766,12.065857,-0.056801513,1.1907128
-0.83451736,12.178861,3.1219423,1.074628
-0.37769866,12.277471,5.7696924,0.8966976
0.2452436,12.362959,6.1546254,0.8630926
-0.70099354,4.560795,5.5796194,8.75993
