x1,x2,x3,x4
0.5178769,0.533642,-22.269741,-0.72055054
-1.9724941,0.40623665,-25.66697,-0.83154917
-4.65003,0.36536217,-29.864862,0.4246071
-8.014946,0.552907,-36.681053,3.4586358
-11.215496,0.9212208,-18.816383,2.4620411
-11.055336,0.8981085,22.376617,-2.8848786
-7.7389336,0.52737236,36.643173,-3.1722875
-4.355192,0.360384,29.142242,-0.22473454
-1.691761,0.40524483,24.815214,0.84966004
0.6959629,0.5060005,24.124659,0.9884573
3.3261538,0.59000015,27.752426,0.37615657
6.3679028,0.53461075,33.854385,-1.8560504
9.810963,0.1977539,33.649445,-4.057081
11.60964,-0.02093792,-2.6349735,0.35743013
9.498692,0.24158478,-35.441273,4.1372886
5.914092,0.54860115,-32.590557,1.4577508
3.008647,0.5812788,-27.028042,-0.50435096
0.4585123,0.4941845,-23.921188,-0.9938985
-1.9646168,0.401721,-25.447548,-0.8182163
-4.705763,0.36756992,-30.058868,0.45688033
-8.113441,0.5608034,-36.983143,3.4997094
-11.233206,0.9241009,-18.247633,2.3863962
-11.007295,0.89283466,22.834034,-2.94057
-7.664399,0.5210066,36.40126,-3.1318717
-4.332423,0.3631401,29.249754,-0.20218909
-1.6812134,0.40828228,24.92649,0.8637847
0.75659275,0.5087757,24.194107,0.98279715
3.3380032,0.58919907,27.718224,0.3739506
6.36209,0.5276966,33.650898,-1.8856965
9.872537,0.1940012,33.53472,-4.0591435
11.59965,-0.020866394,-2.9076338,0.39274573
9.515176,0.25364876,-35.99556,4.1424685
5.898013,0.5499506,-32.598038,1.4437462
2.9173422,0.5737877,-26.635435,-0.51974237
0.43953896,0.4935646,-23.901901,-0.99647176
-2.047243,0.40338993,-25.753325,-0.81097615
-4.805174,0.37264347,-30.43411,0.51214945
-8.050261,0.5569124,-36.60766,3.5142827
-11.1738825,0.9214544,-17.611221,2.3127084
-11.031346,0.8942604,23.105293,-2.9752426
-7.6815987,0.52251816,36.672234,-3.0806036
-4.3019056,0.36300182,29.220455,-0.17601863
-1.6103077,0.4075098,24.712809,0.8444034
0.7728863,0.5078459,24.1129,0.97953784
3.3383179,0.5853367,27.548538,0.35877228
6.396289,0.5280638,33.779507,-1.8980339
9.977784,0.1908207,33.359932,-4.040407
11.576138,-0.023608208,-3.1663752,0.4151135
9.42832,0.2587843,-36.020103,4.1428237
5.8867455,0.55134296,-32.557163,1.432127
2.5790389,0.5190261,-21.96991,-1.8833029
1.5252709,1.1620554,-29.773087,0.47370613
-1.8676931,1.2668204,-31.239641,1.3220459
-4.702179,1.4161706,-22.531338,1.436575
-5.8977194,1.5006876,0.23283005,-0.005300641
-4.619637,1.4076996,22.688786,-1.4422292
-1.8255866,1.2570667,31.045803,-1.3186741
1.3499898,1.1405015,31.571098,-1.2606373
4.202247,0.98832846,24.959167,-1.5082672
5.815089,0.88667154,4.3223786,-0.32259822
5.0630136,0.9572506,-19.686108,1.3089707
2.3828495,1.0962987,-30.529469,1.4016912
-0.76535344,1.2117887,-31.643343,1.2021792
-3.7728283,1.3472247,-26.950274,1.5191162
-5.729184,1.4840055,-8.919359,0.64249814
-5.3253756,1.4528728,15.793745,-1.0919386
-2.9104245,1.309886,29.552843,-1.4637244
0.15790612,1.1802769,31.840714,-1.1794776
3.2888942,1.0455036,28.541843,-1.4870439
5.541931,0.91897964,13.418896,-0.9448865
5.57622,0.9125185,-11.9718895,0.8373675
3.4411814,1.0328531,-27.993404,1.5099201
0.36983192,1.1719704,-31.791843,1.1880738
-2.807991,1.317277,-30.118902,1.4405513
-5.1955576,1.43641,-17.241537,1.1810863
-5.7212543,1.4815664,7.7305818,-0.5417186
-3.9713314,1.3719082,26.52603,-1.537596
-0.9195468,1.2231779,31.707611,-1.225012
2.2087195,1.1004162,30.651434,-1.3615799
4.906505,0.95134735,20.457802,-1.3458174
5.832269,0.88487625,-2.683518,0.19521624
4.347817,0.9798765,-24.061447,1.4835238
1.5293986,1.1404896,-31.658735,1.2941692
-1.6719582,1.2671137,-31.591122,1.3076645
-4.5041375,1.3942146,-23.450525,1.4668548
-5.8554907,1.4890575,-1.4023972,0.11472881
-4.78653,1.416192,21.401924,-1.3905299
-2.0423965,1.2657499,30.795134,-1.3462728
1.1001593,1.1515093,31.757359,-1.2393034
4.0781274,1.0046768,25.836048,-1.5177876
5.773893,0.8884716,6.3188577,-0.46355754
5.142108,0.94227314,-18.28375,1.2320942
2.6253505,1.0854101,-30.185066,1.4316692
-0.5459866,1.2042904,-31.706509,1.1922878
-3.583945,1.3412142,-27.746695,1.5161908
-5.657934,1.4788103,-10.649137,0.7591504
-5.4503565,1.4679003,14.423332,-1.0027862
-3.1162996,1.3132191,28.867943,-1.4812583
-0.05420208,1.1809254,31.642876,-1.1683947
3.048895,1.0580683,29.13247,-1.4700761
5.3988047,0.9204912,15.163416,-1.057677
6.6009245,0.7935079,-13.237511,1.0728136
6.092973,8.994853,43.79666,-4.448148
6.8345356,8.669289,0.86381674,-0.07190704
5.47095,8.696504,-24.887081,1.7155027
2.4549317,8.928297,-33.70132,1.3461018
-0.99749833,9.08621,-34.533966,1.09056
-4.309797,9.1707945,-30.642454,1.7446375
-6.53533,9.247818,-11.795669,0.91474533
-6.2988377,9.324937,16.926306,-1.271944
-3.7235522,9.205837,32.374844,-1.652956
-0.32040387,8.952708,34.19023,-1.0235214
3.104766,8.889718,32.948513,-1.4919424
5.9263873,8.711462,21.341606,-1.5455341
6.7086506,8.5760975,-6.252823,0.4938507
4.874287,8.792229,-28.563286,1.7928505
1.6462877,8.960352,-34.180923,1.1809015
-1.8278652,9.127874,-34.311768,1.2197542
-4.9693875,9.193382,-28.082382,1.790781
-6.726447,9.247837,-4.8016524,0.38093567
-5.8560143,9.279633,22.224632,-1.5966034
-2.924858,9.143171,33.37871,-1.4634371
0.46939462,8.96903,34.34141,-1.031146
3.7995172,8.7836075,31.615356,-1.6599798
6.428695,8.738012,15.637571,-1.1882257
6.5741816,8.766384,-13.222801,1.0104465
4.121793,8.869848,-31.26654,1.724987
0.7950902,8.934584,-34.193554,1.0554028
-2.6092627,9.023228,-33.268097,1.3746357
-5.643111,9.257097,-24.069237,1.6803741
