x1,x2,x3,x4
0.9999974,1.000013,0.49999344,0.49996826
0.8974193,1.049996,-2.5160658,0.50000846
0.5165622,1.1000022,-4.926619,0.5000073
-0.036510058,1.1500052,-5.80886,0.49999475
-0.5769309,1.1999847,-4.6884413,0.49999768
-0.92674637,1.2500023,-2.1536438,0.49999893
-0.9913144,1.299998,0.8842279,0.50001055
-0.7561171,1.350002,3.7296588,0.4999998
-0.27883473,1.3999879,5.5654607,0.500012
0.2937792,1.4499755,5.537764,0.49999902
0.7660314,1.5000082,3.6622071,0.50001824
0.99360305,1.5499808,0.80247855,0.49999356
0.920872,1.599998,-2.231949,0.49998677
0.5643182,1.6499838,-4.741294,0.5000083
0.02091587,1.6999893,-5.8117757,0.49998248
-0.52974916,1.7499877,-4.8776917,0.49999723
-0.9041069,1.7999908,-2.439197,0.50000185
-0.99860156,1.8499948,0.58230543,0.49997652
-0.79167503,1.9000188,3.4783676,0.49997488
-0.33315393,1.9499894,5.4572,0.49998778
0.23864597,2.0000143,5.632537,0.49999052
0.72871107,2.0499892,3.906809,0.5000116
0.9842236,2.1000075,1.1031693,0.50001395
0.9414862,2.1500077,-1.9431792,0.49999776
0.61010504,2.2000031,-4.5420737,0.4999941
0.07808448,2.2500145,-5.7940807,0.49998498
-0.48074844,2.3000002,-5.052061,0.50000125
-0.87866265,2.3500257,-2.7191713,0.5000015
-1.0028499,2.4000325,0.27918863,0.49999502
-0.8247496,2.4500227,3.2178867,0.5000076
-0.38647428,2.5000358,5.330416,0.49999684
